,Word,Frequency,Rank,Constant A
75,been,1965,75,0.1273929121565902
76,could,1933,76,0.1269892311389337
77,if,1855,77,0.12346847571085029
78,"said,",1804,78,0.12163332624514415
79,"them,",1795,79,0.12257812999738947
80,against,1790,80,0.12378398657047475
81,come,1770,81,0.12393093683386149
82,made,1754,82,0.12432683813169164
83,king,1737,83,0.12462333189840723
84,For,1725,84,0.12525348920434212
85,son,1698,85,0.12476077361533953
86,children,1654,86,0.12295760744225287
87,shalt,1615,87,0.12145439268913795
88,what,1591,88,0.12102477927206026
89,am,1574,89,0.12109220351055536
90,thee,1549,90,0.12050786011026456
91,He,1541,91,0.12121754344109109
92,should,1537,92,0.12223150025845958
93,even,1536,93,0.12347971308393281
94,did,1521,94,0.1235886291615018
95,more,1513,95,0.12424644769348596
96,than,1494,96,0.12397761515281963
97,may,1481,97,0.12417902345499086
98,house,1468,98,0.12435795701099707
99,after,1466,99,0.1254557619198274
100,also,1453,100,0.12559925452995796
101,went,1441,101,0.12580757813864152
102,Then,1409,102,0.12423175266714728
103,"LORD,",1400,103,0.12464839988451439
104,make,1374,104,0.12352120492300671
105,"me,",1372,105,0.12452738202054883
106,who,1370,106,0.12553010146483481
107,our,1365,107,0.12625188658205788
108,great,1360,108,0.1269650275661406
109,people,1358,109,0.12795218757077384
110,go,1355,110,0.12884080445760657
111,"saying,",1319,111,0.12655788889522793
112,Mr.,1265,112,0.12247007833313452
113,day,1261,113,0.12317284635744874
114,"thee,",1217,114,0.11992697436322994
115,own,1204,115,0.11968666746192691
116,such,1197,116,0.12002551748103045
117,Mrs.,1196,117,0.12095908386019324
118,let,1189,118,0.12127891678638791
119,over,1184,119,0.12179237829492745
120,must,1171,120,0.12146735888884855
121,saith,1167,121,0.12206121083559378
122,know,1157,122,0.12201539692994967
123,land,1151,123,0.12237758610853228
124,two,1146,124,0.12283658957828732
125,men,1139,125,0.12307084558639206
126,because,1130,126,0.12307516765296225
127,much,1121,127,0.12306393027987975
128,might,1120,128,0.1239222927007211
129,give,1109,129,0.12366383311982325
130,Israel,1098,130,0.12338635644601652
131,She,1094,131,0.12388252968827528
132,"you,",1089,132,0.12425768506656847
133,these,1080,133,0.12416432842865219
134,O,1077,134,0.12475040065557105
135,down,1035,135,0.12078015030418704
136,hast,1026,136,0.12061677618783355
137,good,1022,137,0.1210299657519445
138,put,1016,138,0.12119766193486818
139,among,1015,139,0.12195575241128094
140,being,1007,140,0.12186498901330678
141,then,1000,141,0.12188227727958757
142,like,997,142,0.12237845052184632
143,him.,995,143,0.1229930483881285
144,brought,990,144,0.12323076204948939
145,say,984,145,0.12333449164717415
146,"it,",983,146,0.12405887000433935
147,now,979,147,0.124400313263385
148,us,973,148,0.12447897487496261
149,"God,",966,149,0.12441846594297984
150,only,951,150,0.12330855924775296
151,see,948,151,0.1237390370781447
152,nor,927,152,0.12179929360143976
153,hand,919,153,0.12154256284717
154,take,909,154,0.12100576217915139
155,little,886,155,0.11870988041706214
156,whom,885,156,0.11934090213631106
157,thine,885,157,0.12010590791923613
158,Miss,881,158,0.12032460448768816
159,about,874,159,0.12012406059883096
160,neither,863,160,0.11935819040259185
161,time,860,161,0.11968666746192691
162,how,860,162,0.12043006291200099
163,took,859,163,0.12103255899188661
164,things,859,164,0.12177509002864666
165,without,858,165,0.12237499286859016
166,It,857,166,0.12297316688190559
167,sons,842,167,0.12154861374036828
168,them.,840,168,0.12198600687727233
169,thing,827,169,0.12081299801012055
170,heard,819,170,0.12035226571373743
171,other,811,171,0.11987770280432967
172,away,800,172,0.11894327201185284
173,some,784,173,0.11724210660982284
174,therefore,783,174,0.11776939873138702
175,set,781,175,0.11814368969636618
176,saw,779,176,0.11851452300808918
177,it.,777,177,0.11888189866655602
178,Jesus,776,178,0.11939968224166576
179,according,769,179,0.11898735709086886
180,"Israel,",766,180,0.11918530773978393
181,first,764,181,0.11953453071865594
182,many,759,182,0.11940832637480615
183,never,754,183,0.11927347789781598
184,forth,750,184,0.11928903733746869
185,can,749,185,0.11977743085990107
186,bring,742,186,0.11929941029723716
187,name,739,187,0.11945586910707834
188,yet,738,188,0.11993216084311417
189,They,729,189,0.119099730821694
190,think,723,190,0.11874445694962373
191,sent,720,191,0.11887411894672967
192,David,694,192,0.11518134526915237
193,So,691,193,0.11528075280026694
194,Lord,685,194,0.11487188530272618
195,called,681,195,0.11478976603789243
196,"her,",668,196,0.11317590638058043
197,Now,650,197,0.11068812486277439
198,"""I",649,198,0.1110788396807203
199,those,642,199,0.11043571617507482
200,word,642,200,0.11099066952268825
201,me.,641,201,0.11137187579417973
202,young,640,202,0.11175135323904313
203,most,638,203,0.1119536259545284
204,days,635,204,0.11197610070069343
205,though,633,205,0.11217059369635235
206,If,632,206,0.11253969818144727
207,given,625,207,0.11183347250387689
208,LORD.,621,208,0.1116545389478707
209,gave,615,209,0.11110736532008361
210,heart,609,210,0.11054981873252805
211,father,607,211,0.11071146402225346
212,"behold,",600,212,0.1099533735458407
213,done,599,213,0.11028790149837404
214,mine,589,214,0.10895584058143896
215,Thou,578,215,0.10742064253570459
216,three,578,216,0.1079202734312195
217,found,574,217,0.107669593570148
218,nothing,572,218,0.10778888260748547
219,way,570,219,0.10790471399156679
220,"people,",555,220,0.1055448656442386
221,through,554,221,0.10583357969112783
222,same,547,222,0.10496916637708821
223,hundred,545,223,0.1050564721218062
224,well,542,224,0.10494669163092317
225,again,541,225,0.10522071065147375
226,under,537,226,0.10490692861847735
227,"man,",535,227,0.10497867492354264
228,has,530,228,0.10445570486854867
229,In,525,229,0.10392409068041429
230,soon,524,230,0.10417909260805598
231,spake,524,231,0.10463204518461275
232,"Behold,",521,232,0.10448336609459793
233,place,519,233,0.10453090882687012
234,himself,514,234,0.10396817575943032
235,"say,",513,235,0.10420934707404737
236,hear,508,236,0.10363278339358294
237,off,507,237,0.10386703940168768
238,eat,504,238,0.10368810584568147
239,both,504,239,0.10412377015595745
240,always,503,240,0.10435197527086391
241,where,500,241,0.10416180434177519
242,speak,499,242,0.10438482297679742
243,thee.,496,243,0.10418600791456831
244,ever,488,244,0.10292742212932661
245,This,487,245,0.10313747456463823
246,cast,486,246,0.10334579817332179
247,"house,",485,247,0.10355239295537726
248,God.,485,248,0.10397163341268648
249,Moses,484,249,0.10417563495479983
250,too,483,250,0.1043779076702851
251,Emma,482,251,0.10457845155914229
252,thousand,482,252,0.1049950987765094
253,evil,482,253,0.1054117459938765
254,When,479,254,0.1051697102659454
255,left,475,255,0.10470206266304996
256,quite,470,256,0.10400620994524806
257,seven,457,257,0.10152447932064029
258,Let,457,258,0.1019195162051564
259,thought,455,259,0.10186678699299997
260,city,451,260,0.1013611052042868
261,having,450,261,0.10152534373395433
262,Thus,450,262,0.10191432972527216
263,years,449,263,0.10207597501499757
264,What,447,264,0.10200768636318844
265,cannot,446,265,0.10216500958634366
266,A,444,266,0.10209067004133625
267,told,441,267,0.1017820744882241
268,pass,441,268,0.10216328075971558
269,you.,441,269,0.10254448703120705
270,art,440,270,0.10269230170790783
271,long,433,271,0.10143285150935209
272,That,430,272,0.1011017812100749
273,answered,428,273,0.10100150926564631
274,"and,",427,274,0.10113462891600841
275,between,421,275,0.10007745143293795
276,another,420,276,0.1002027913634737
277,words,417,277,0.09984751749140341
278,old,416,278,0.09996767094205491
279,"day,",412,279,0.09936258162222718
280,while,409,280,0.09899261272381822
281,keep,409,281,0.09934615776926042
282,right,408,282,0.09945593826014346
283,seen,404,283,0.09883010302077877
284,Therefore,400,284,0.09819735247490176
285,"pass,",400,285,0.09854311780051761
286,voice,394,286,0.09740554987924147
287,round,392,287,0.09724995548271433
288,whose,391,288,0.09733985446737445
289,five,391,289,0.09767784007316395
290,taken,390,290,0.09776514581788194
291,love,389,291,0.09785072273597187
292,holy,389,292,0.09818697951513329
293,woman,388,293,0.09826996319328109
294,eyes,386,294,0.09809708053047317
295,till,386,295,0.09843074406969246
296,There,385,296,0.09850854126795602
297,commanded,383,297,0.09832787888532174
298,offering,381,298,0.0981437588494313
299,whole,379,299,0.0979561811602847
300,Judah,373,300,0.09672784984103439
301,none,370,301,0.09626971078459338
302,high,369,302,0.09632849088994809
303,herself,367,303,0.09612362493452069
304,knew,364,304,0.09565251967836909
305,burnt,361,305,0.09517622794233326
306,midst,360,306,0.09522377067460544
307,tell,356,307,0.09447345991801905
308,four,355,308,0.09451495175709294
309,As,352,309,0.09402050734146228
310,better,349,310,0.09352087644594737
311,Elinor,349,311,0.0938225566925472
312,until,348,312,0.09385453998516667
313,stood,348,313,0.09415535581845245
314,toward,348,314,0.09445617165173825
315,"hand,",348,315,0.09475698748502404
316,her.,345,316,0.09423833949660027
317,My,344,317,0.09426254306939337
318,turned,342,318,0.0940101343816938
319,end,341,319,0.09403001588791671
320,"us,",341,320,0.09432478082800423
321,cried,341,321,0.09461954576809174
322,just,341,322,0.09491431070817925
323,earth,340,323,0.09492987014783197
324,side,339,324,0.0949437007608566
325,Israel.,339,325,0.09523673687431604
326,cut,337,326,0.09496617550702163
327,its,337,327,0.09525748279385299
328,seemed,335,328,0.09498173494667435
329,sure,331,329,0.09413374548560147
330,half,331,330,0.09441986629254859
331,him:,329,331,0.09413374548560147
332,"up,",329,332,0.09441813746592051
333,dwell,327,333,0.09412683017908915
334,full,326,334,0.09412077928589087
335,servant,325,335,0.09411299956606452
336,We,324,336,0.09410349101961007
337,face,323,337,0.09409225364652757
338,thereof,322,338,0.09407928744681697
339,known,321,339,0.0940645924204783
340,cities,321,340,0.09434206909428501
341,"not,",320,341,0.09432478082800423
342,themselves,318,342,0.0940101343816938
343,look,318,343,0.0942850178155584
344,work,317,344,0.09426254306939337
345,rather,317,345,0.09453656208994393
346,hands,316,346,0.09451149410383679
347,"thereof,",313,347,0.09388479445115805
348,part,313,348,0.09415535581845245
349,priest,312,349,0.09412423693914704
350,together,312,350,0.09439393389312739
351,fear,311,351,0.09436022177387984
352,them;,310,352,0.09432478082800423
353,them:,309,353,0.09428761105550053
354,"land,",306,354,0.09363670783002868
355,"men,",306,355,0.0939012183041248
356,Anne,303,356,0.09324253535882661
357,mother,303,357,0.09350445259298062
358,How,303,358,0.09376636982713463
359,still,302,359,0.0937179626815484
360,going,301,360,0.0936678267093341
361,thus,301,361,0.09392801511686004
362,soul,301,362,0.09418820352438596
363,year,301,363,0.09444839193191189
364,far,301,364,0.09470858033943783
365,poor,299,365,0.09433774702771482
366,pray,298,366,0.09427983133567416
367,find,297,367,0.09422018681700543
368,To,297,368,0.0944769175712752
369,him;,297,369,0.09473364832554497
370,"son,",297,370,0.09499037907981474
371,last,296,371,0.09492641249457581
372,Captain,296,372,0.09518227883553154
373,hope,296,373,0.09543814517648727
374,turn,295,374,0.09537072093799218
375,daughter,295,375,0.09562572286563387
376,gone,294,376,0.09555570538719665
377,twenty,294,377,0.0958098429015243
378,"Judah,",294,378,0.09606398041585196
379,able,293,379,0.09599050528415859
380,me:,292,380,0.09591530132583714
381,cause,291,381,0.09583836854088762
382,rest,291,382,0.09608991281527314
383,You,291,383,0.09634145708965867
384,ten,291,384,0.09659300136404421
385,servants,290,385,0.09651174651252449
386,Mrs,289,386,0.09642876283437668
387,laid,288,387,0.09634405032960079
388,blood,288,388,0.09659300136404421
389,fire,287,389,0.0965056956193262
390,Lady,286,390,0.09641666104798012
391,Who,286,391,0.09666388325579546
392,law,283,392,0.0958945554063002
393,began,283,393,0.0961391843741734
394,Ye,282,394,0.09604323449631501
395,whether,282,395,0.09628699905087418
396,king's,282,396,0.09653076360543336
397,looked,282,397,0.09677452815999253
398,strong,281,398,0.09667425621556393
399,LORD:,280,399,0.09657225544450726
400,bear,280,400,0.09681429117243835
401,sin,280,401,0.09705632690036944
402,few,279,402,0.09695086847605662
403,spoken,279,403,0.09719203979067367
404,sat,276,404,0.0963855421686747
405,"Jerusalem,",276,405,0.09662412024334964
406,"king,",275,406,0.09651174651252449
407,chief,272,407,0.095694011517443
408,delivered,271,408,0.0955764513067336
409,it;,270,409,0.09545716226939614
410,"brethren,",270,410,0.09569055386418683
411,within,269,411,0.09556867158690725
412,John,269,412,0.09580119876838392
413,"again,",269,413,0.09603372594986057
414,life,268,414,0.09590838601932482
415,return,268,415,0.09614004878748744
416,"city,",268,416,0.09637171155565007
417,glory,267,417,0.09624291397185816
418,felt,267,418,0.09647371232670673
419,deliver,267,419,0.09670451068155532
420,believe,266,420,0.09657225544450726
421,really,266,421,0.0968021893860418
422,LORD;,265,422,0.09666734090905162
423,passed,264,423,0.09653076360543336
424,brother,262,424,0.09602594623003421
425,Saul,261,425,0.09588504685984575
426,call,260,426,0.09574241866302921
427,gathered,257,427,0.09485985266939476
428,"earth,",257,428,0.09508200689110294
429,body,255,429,0.09456249448936513
430,priests,255,430,0.09478291988444523
431,shew,255,431,0.09500334527952534
432,fell,255,432,0.09522377067460544
433,kings,255,433,0.09544419606968554
434,spirit,255,434,0.09566462146476565
435,kingdom,254,435,0.09550902706823852
436,Marianne,253,436,0.0953517038450833
437,thee:,253,437,0.09557040041353533
438,lay,253,438,0.09578909698198736
439,"heart,",252,439,0.09562831610557598
440,"Moses,",252,440,0.09584614826071397
441,walk,252,441,0.09606398041585196
442,offer,252,442,0.09628181257098994
443,manner,251,443,0.09611670962800838
444,head,251,444,0.09633367736983232
445,Christ,251,445,0.09655064511165627
446,power,250,446,0.09638208451541853
447,These,250,447,0.09659818784392844
448,present,250,448,0.09681429117243835
449,near,249,449,0.09664227292294447
450,Sir,249,450,0.09685751183814034
451,mighty,248,451,0.09668290034870433
452,"Lord,",248,452,0.09689727485058616
453,received,248,453,0.09711164935246798
454,leave,248,454,0.09732602385434981
455,"father,",247,455,0.0971470902983436
456,Mr,246,456,0.09696642791570934
457,dear,246,457,0.09717907359096307
458,sight,245,458,0.09699581796838667
459,"Egypt,",245,459,0.09720759923032639
460,"however,",245,460,0.09741938049226609
461,send,245,461,0.0976311617542058
462,ought,243,462,0.0970442251139729
463,enough,243,463,0.09725427754928452
464,drink,242,464,0.09706324220688177
465,Jerusalem,242,465,0.09727243022887935
466,His,242,466,0.09748161825087695
467,day.,241,467,0.09728712525521803
468,certain,241,468,0.09749544886390159
469,destroy,240,469,0.09729836262830055
470,stand,239,470,0.09709954756607143
471,wish,239,471,0.0973061423481269
472,"time,",238,472,0.09710473404595567
473,seek,237,473,0.09690159691715636
474,written,237,474,0.09710646287258375
475,Son,236,475,0.09690073250384232
476,Wherefore,234,476,0.09628181257098994
477,All,234,477,0.09648408528647522
478,tabernacle,234,478,0.09668635800196049
479,wicked,234,479,0.09688863071744576
480,almost,233,480,0.09667598504219202
481,peace,232,481,0.09646161054031019
482,family,231,482,0.09624550721180028
483,kept,231,483,0.09644518668734343
484,new,230,484,0.09622649011889141
485,concerning,230,485,0.09642530518112052
486,wife,228,486,0.09578391050210312
487,smote,227,487,0.09556002745376685
488,back,226,488,0.09533441557880251
489,tribe,226,489,0.09552977298777547
490,mouth,226,490,0.09572513039674842
491,happy,225,491,0.09549606086852792
492,begat,225,492,0.09569055386418683
493,Harriet,224,493,0.09545889109602422
494,"yea,",224,494,0.09565251967836909
495,returned,224,495,0.09584614826071397
496,cometh,223,496,0.09561102783929519
497,"now,",223,497,0.09580379200832603
498,flesh,223,498,0.09599655617735686
499,"come,",222,499,0.09575797810268193
500,dwelt,222,500,0.09594987785839873
501,"he,",221,501,0.09570870654378166
502,fathers,221,502,0.09589974188618443
503,Her,220,503,0.09565597733162526
504,mount,220,504,0.09584614826071397
505,mind,219,505,0.09559979046621268
506,meat,219,506,0.09578909698198736
507,seeing,219,507,0.09597840349776203
508,not.,219,508,0.09616771001353672
509,Weston,218,509,0.09591703015246522
510,save,218,510,0.09610547225492586
511,morning,218,511,0.0962939143573865
512,me;,217,512,0.09603977684305885
513,something,215,513,0.09534046647200078
514,walked,214,514,0.09508200689110294
515,above,213,515,0.09482181848357701
516,heaven,213,516,0.09500593851946745
517,"together,",212,517,0.09474315687199941
518,"out,",212,518,0.09492641249457581
519,"heaven,",212,519,0.09510966811715221
520,get,211,520,0.094843428816428
521,six,210,521,0.09457546068907571
522,thee;,210,522,0.09475698748502404
523,fall,210,523,0.09493851428097236
524,lest,210,524,0.09512004107692068
525,wilt,209,525,0.0948477508829982
526,here,208,526,0.09457373186244764
527,"place,",207,527,0.094297984015269
528,praise,206,528,0.09402050734146228
529,"away,",206,529,0.09419857648415444
530,"David,",206,530,0.0943766456268466
531,since,206,531,0.09455471476953876
532,people.,206,532,0.09473278391223093
533,Solomon,205,533,0.09445012075853997
534,Aaron,205,534,0.09462732548791809
535,Of,205,535,0.09480453021729622
536,God:,204,536,0.0945184094103491
537,"that,",204,537,0.09469474972641319
538,ever.,204,538,0.09487109004247728
539,deal,204,539,0.09504743035854135
540,covenant,204,540,0.09522377067460544
541,Because,204,541,0.09540011099066953
542,sister,203,542,0.09510793929052413
543,seed,203,543,0.09528341519327417
544,"himself,",202,544,0.09498865025318666
545,"things,",202,545,0.09516326174262267
546,mercy,202,546,0.09533787323205867
547,Jane,201,547,0.095039650638715
548,coming,201,548,0.09521339771483696
549,why,201,549,0.09538714479095893
550,fine,201,550,0.09556089186708089
551,altar,201,551,0.09573463894320286
552,"down,",201,552,0.09590838601932482
553,does,200,553,0.09560411253278288
554,bread,200,554,0.0957769951955908
555,inhabitants,200,555,0.09594987785839873
556,"herself,",200,556,0.09612276052120665
557,Colonel,199,557,0.0958141649680945
558,surely,199,558,0.0959861832175884
559,world,198,559,0.09567499442453413
560,"Elinor,",198,560,0.09584614826071397
561,second,198,561,0.09601730209689381
562,"way,",198,562,0.09618845593307367
563,next,197,563,0.0958729450734492
564,meet,196,564,0.09555570538719665
565,brethren,196,565,0.09572513039674842
566,serve,196,566,0.0958945554063002
567,"offering,",195,567,0.09557385806679149
568,certainly,195,568,0.09574241866302921
569,father's,195,569,0.09591097925926695
570,feel,194,570,0.09558682426650209
571,doth,193,571,0.09526094044710914
572,receive,193,572,0.09542777221671879
573,"therefore,",192,573,0.09509929515738373
574,less,192,574,0.09526526251367934
575,judgment,192,575,0.09543122986997495
576,earth.,192,576,0.09559719722627055
577,house.,192,577,0.09576316458256616
578,slew,191,578,0.09542950104334687
579,"fathers,",191,579,0.09559460398632844
580,Jacob,191,580,0.09575970692931
581,hold,189,581,0.09492036160137753
582,waters,188,582,0.09458064716895996
583,wise,188,583,0.09474315687199941
584,Is,187,584,0.09440084919963972
585,"thou,",186,585,0.09405681270065194
586,light,185,586,0.09371104737503609
587,each,185,587,0.09387096383813343
588,Knightley,184,588,0.09352260527257546
589,asked,184,589,0.09368165732235874
590,angel,184,590,0.09384070937214203
591,pleasure,184,591,0.09399976142192533
592,princes,183,592,0.09364708078979715
593,nations,182,593,0.09329267133104091
594,it:,182,594,0.09344999455419613
595,"is,",182,595,0.09360731777735133
596,hardly,182,596,0.09376464100050655
597,Go,181,597,0.0934059094751801
598,immediately,181,598,0.09356236828502128
599,door,180,599,0.09320104351975271
600,water,180,600,0.09335663791627984
601,congregation,180,601,0.09351223231280698
602,ready,179,602,0.09314744989428225
603,third,179,603,0.09330217987749534
604,judge,179,604,0.09345690986070844
605,least,178,605,0.09308866978892756
606,Frank,178,606,0.09324253535882661
607,become,178,607,0.09339640092872567
608,ark,177,608,0.09302470320368862
609,"this,",177,609,0.09317770436027364
610,us.,177,610,0.09333070551685865
611,want,176,611,0.09295555013856545
612,"gold,",176,612,0.09310768688183643
613,"all,",175,613,0.09272993826360111
614,visit,175,614,0.09288121059355804
615,friend,175,615,0.09303248292351499
616,bare,175,616,0.09318375525347192
617,sacrifice,175,617,0.09333502758342885
618,Elton,174,618,0.09295209248530929
619,afraid,173,619,0.09256742856056166
620,carried,172,620,0.09218103580918595
621,myself,172,621,0.09232971489920076
622,"was,",172,622,0.09247839398921558
623,Why,172,623,0.09262707307923039
624,glad,172,624,0.09277575216924522
625,reason,172,625,0.09292443125926003
626,again.,171,626,0.09253198761468603
627,Jerusalem.,171,627,0.09267980229138681
628,thirty,171,628,0.09282761696808758
629,One,170,629,0.09243171567025744
630,"children,",170,630,0.09257866593364418
631,sword,170,631,0.09272561619703092
632,once,169,632,0.0923262572459446
633,gate,169,633,0.0924723430960173
634,reigned,168,634,0.09207039090498888
635,multitude,168,635,0.09221561234174754
636,sea,167,636,0.09181106691077699
637,sit,167,637,0.09195542393422161
638,child,167,638,0.09209978095766622
639,entered,167,639,0.09224413798111084
640,throughout,167,640,0.09238849500455545
641,"Emma,",166,641,0.09197876309370068
642,"morning,",166,642,0.09212225570383126
643,"be,",166,643,0.09226574831396184
644,letter,166,644,0.0924092409240924
645,"sons,",165,645,0.09199518694666743
646,"wife,",165,646,0.09213781514348397
647,"Marianne,",165,647,0.0922804433403005
648,blessed,165,648,0.09242307153711704
649,help,165,649,0.09256569973393358
650,talked,165,650,0.09270832793075012
651,believed,165,651,0.09285095612756666
652,"voice,",165,652,0.09299358432438319
653,"side,",164,653,0.09257175062713185
654,Israel:,164,654,0.09271351441063436
655,night,164,655,0.09285527819413686
656,saying,164,656,0.09299704197763936
657,enter,164,657,0.09313880576114185
658,living,164,658,0.09328056954464435
659,beyond,163,659,0.09285268495419474
660,live,163,660,0.09299358432438319
661,fruit,162,661,0.09256310649399146
662,"""You",162,662,0.09270314145086589
663,ask,161,663,0.09227007038053203
664,answer,161,664,0.0924092409240924
665,lifted,161,665,0.09254841146765279
666,Joshua,160,666,0.09211188274406278
667,departed,160,667,0.09225018887430912
668,open,160,668,0.09238849500455545
669,forty,159,669,0.09194850862770929
670,hand.,159,670,0.09208595034464159
671,became,159,671,0.09222339206157389
672,understand,159,672,0.0923608337785062
673,book,158,673,0.09191652533508982
674,daughters,158,674,0.09205310263870808
675,towards,158,675,0.09218967994232634
676,strength,157,676,0.09174191384565382
677,Take,157,677,0.09187762673595803
678,"eyes,",157,678,0.09201333962626226
679,often,157,679,0.09214905251656648
680,shewed,157,680,0.09228476540687071
681,you:,156,681,0.09183181283031394
682,evening,156,682,0.09196666130730412
683,number,156,683,0.09210150978429431
684,"know,",156,684,0.09223635826128448
685,built,156,685,0.09237120673827466
686,build,156,686,0.09250605521526485
687,home,156,687,0.09264090369225503
688,righteous,155,688,0.09218103580918595
689,knowledge,155,689,0.09231501987286209
690,"days,",154,690,0.09185255874985089
691,rose,154,691,0.09198567840021299
692,Thy,153,692,0.09152062403725968
693,"there,",153,693,0.09165287927430774
694,Egypt,153,694,0.0917851345113558
695,wherein,152,695,0.09131662249514631
696,"sea,",152,696,0.09144801331888035
697,"mother,",151,697,0.09097690806272875
698,filled,151,698,0.09110743447314873
699,sort,150,699,0.09063373597705501
700,remember,150,700,0.09076339797416096
701,all.,150,701,0.0908930599712669
702,best,150,702,0.09102272196837284
703,"name,",150,703,0.09115238396547878
704,either,150,704,0.09128204596258474
705,followed,149,705,0.09080229657329274
706,"also,",149,706,0.09093109415708464
707,feelings,149,707,0.09105989174087654
708,broken,149,708,0.09118868932466845
709,dead,149,709,0.09131748690846037
710,kind,148,710,0.09083255103928413
711,her;,148,711,0.090960484209762
712,gold,148,712,0.09108841738023986
713,moment,147,713,0.09060002385780747
714,hour,147,714,0.09072709261497129
715,"life,",147,715,0.09085416137213512
716,gather,147,716,0.09098123012929894
717,Levites,146,717,0.09048851454029636
718,away.,146,718,0.09061471888414614
719,inheritance,146,719,0.09074092322799593
720,offered,145,720,0.09024474998573719
721,perfectly,145,721,0.09037008991627293
722,"world,",144,722,0.08987132343407206
723,Jews,144,723,0.08999579895129377
724,born,144,724,0.09012027446851548
725,lord,143,725,0.08961805033305845
726,disciples,143,726,0.08974166143696612
727,mother's,143,727,0.08986527254087379
728,Holy,143,728,0.08998888364478146
729,silver,142,729,0.08948233744275423
730,sought,142,730,0.08960508413334786
731,"I,",142,731,0.08972783082394148
732,Israel;,142,732,0.08985057751453511
733,comfort,142,733,0.08997332420512874
734,break,142,734,0.09009607089572236
735,faith,142,735,0.09021881758631599
736,obliged,141,736,0.08970535607777645
737,men.,141,737,0.08982723835505604
738,"servants,",141,738,0.08994912063233562
739,greater,141,739,0.09007100290961521
740,Be,141,740,0.0901928851868948
741,"Christ,",141,741,0.09031476746417438
742,sweet,141,742,0.09043664974145398
743,man's,140,743,0.08991627292640213
744,anger,140,744,0.09003729079036767
745,land.,140,745,0.09015830865433322
746,fifty,140,746,0.09027932651829877
747,righteousness,139,747,0.08975462763667671
748,"another,",139,748,0.08987478108732821
749,truth,139,749,0.08999493453797973
750,small,139,750,0.09011508798863124
751,twelve,139,751,0.09023524143928274
752,"brother,",138,752,0.08970535607777645
753,"in,",138,753,0.08982464511511393
754,thereof.,138,754,0.08994393415245139
755,commandment,137,755,0.08941059113768894
756,elders,137,756,0.08952901576171236
757,beginning,137,757,0.0896474403857358
758,places,136,758,0.08911063971771718
759,After,136,759,0.08922819992842658
760,Moreover,136,760,0.08934576013913596
761,Philistines,135,761,0.0888055018178612
762,prophet,135,762,0.08892219761525655
763,Joseph,135,763,0.08903889341265189
764,whatsoever,135,764,0.08915558921004725
765,burn,135,765,0.0892722850074426
